aggeragator_name,gst,grn_number,type_of_submission,purchase_invoice_number,purchase_invoice_date,dispatched_state,dispatched_place, invoice_quantity , plant_quantity ,aggregator_wbs_number,aggregator_wbs_date,plant_wbs_number,plant_wbs_date,vehicle_number,eway_bill_number,lr_number,lr_date,category_name,material_name
SREE VENKATESWARA TRADERS,,,MONTHLY ,81/2022-23,22-08-2022,TAMIL NADU ,CHENNAI,"19,455.00","19,490.00",607,22-08-2022,143827/143892,25-08-2022,TN34Z7837,5414 0307 4280,,,Rigid,PET
SREE VENKATESWARA TRADERS,,,MONTHLY ,76/2022-23,14-08-2022,TAMIL NADU ,TIRUVANNAMALAI,"17,190.00","17,190.00",3319,14-08-2022,142645/142760,17-08-2022,KA636544,5514 0038 2684,,,Rigid,PET
SREE VENKATESWARA TRADERS,,,MONTHLY ,79/2022-23,18-08-2022,TAMIL NADU ,TIRUVANNAMALAI,"16,730.00","16,680.00",3641,18-08-2022,143259/143386,22-08-2022,KA634951,5814 0163 7818,,,Rigid,PET
SREE VENKATESWARA TRADERS,,,MONTHLY ,80/2022-23,20-08-2022,TAMIL NADU ,Kumbakonam,"21,370.00","21,490.00",129,20-08-2022,143714/143669,24-08-2022,TN88A3341,5714 0259 1242,,,Rigid,PET
SRI MARUTHI PLASTICS,,,MONTHLY ,K091,11-08-2022,TAMIL NADU ,SALEM ,"21,540.00","21,690.00",3693,11-08-2022,142368/142324/142359,15-08-2022,TN28BA4596,5313 9947 4278,,,Rigid,PET
SRI MURUGAN PLASTICS ,,,MONTHLY ,115,04-08-2022,TAMIL NADU ,KARUR,"15,060.00","14,970.00",27652,03-08-2022,141463/141431,08-08-2022,TN34V7396,5613 9675 9221,,,Rigid,PET
SRI MURUGAN PLASTICS ,,,MONTHLY ,120,09-08-2022,TAMIL NADU ,ARANTHANGI,"16,630.00","16,640.00",28092,09-08-2022,142101/142072,13-08-2022,TN28BF5434,5413 9835 5373,,,Rigid,PET
SRI MURUGAN PLASTICS ,,,MONTHLY ,123,10-08-2022,TAMIL NADU ,DINDIGUL,"19,360.00","19,400.00",9832,10-08-2022,142194,14-08-2022,TN88A7657,5013 9903 4932,,,Rigid,PET
SRI MURUGAN PLASTICS ,,,MONTHLY ,139,17-08-2022,TAMIL NADU ,POLLACHI,"18,310.00","18,260.00",8740/59164,17-08-2022,143204/143276,21-08-2022,TN28BA8697,5414 0133 0759,,,Rigid,PET
SRI MURUGAN PLASTICS ,,,MONTHLY ,156,21-08-2022,TAMIL NADU ,THATTAPARAI,"20,305.00","20,340.00",21568/3082,21-08-2022,143806/143847,25-08-2022,TN88E8679,5014 0267 6548,,,Rigid,PET
SRI MURUGAN PLASTICS ,,,MONTHLY ,138,17-08-2022,TAMIL NADU ,THATTAPARAI,"21,165.00","21,100.00",6125,16-08-2022,143263/143205,21-08-2022,TN28BD6757,5814 0100 0672,,,Rigid,PET
