aggrigator name,grn_number,type_of_submission,purchase_invoice_number,purchase_invoice_date,dispatched_state,dispatched_place, invoice_quantity , plant_quantity ,aggregator_wbs_number,aggregator_wbs_date,plant_wbs_number,plant_wbs_date,vehicle_number,eway_bill_number,lr_number,lr_date
MN enterprises,416,Monthly,609,16-05-2022,Maharashtra,Pune," 11,440.00 "," 11,380.00 ",41394,16-05-2022,6592 /6583,20-05-2022,GJ15X8139,2614 3084 2394,,
MN enterprises,437,Monthly,610,19-05-2022,Maharashtra,Pune," 8,760.00 "," 8,695.00 ",571 / 5320,19-05-2022,6642 / 6649,22-05-2022,DN09N9787,2314 3216 7605,,
MN enterprises,442,Monthly,611,19-05-2022,Maharashtra,Pune," 10,330.00 "," 10,335.00 ",4858,19-05-2022,6663 / 6667,22-05-2022,DN09P9862,2714 3217 5840,,
MN enterprises,450,Monthly,613,20-05-2022,Maharashtra,Pune," 10,130.00 "," 10,130.00 ",8671,20-05-2022,6687 / 6695,23-05-2022,DN09V9759,2414 3259 9968,,
MN enterprises,457,Monthly,615,21-05-2022,Maharashtra,Pune," 9,100.00 "," 9,055.00 ",5518,21-05-2022,6710 / 6716,24-05-2022,DN09R9938,2514 3301 7165,,
MN enterprises,469,Monthly,617,22-05-2022,Maharashtra,Pune," 8,165.00 "," 8,155.00 ",7749,22-05-2022,6745 / 6748,26-05-2022,DN09Q9002,2814 3319 4470,,
MN enterprises,480,Monthly,618,24-05-2022,Maharashtra,Pune," 9,280.00 "," 8,225.00 ",5903,24-05-2022,6790 / 6793,28-05-2022,DN09N9787,2014 3408 3582,,
MN enterprises,488,Monthly,620,26-05-2022,Maharashtra,Pune," 10,180.00 "," 10,080.00 ",27962,26-05-2022,6813 /6816,29-05-2022,MH14GU2798,2914 3502 7461,,
Plastic scrap tradings,352,Monthly,256,10-05-2022,Maharashtra,Pune," 10,440.00 "," 10,395.00 ",7459,10-05-2022,6394 / 6399,13-05-2022,DD01G9938,2814 2851 8672,,
Plastic scrap tradings,391,Monthly,257,14-05-2022,Maharashtra,Pune," 9,700.00 "," 9,650.00 ",7812,14-05-2022,6508 /6515,17-05-2022,DN09Q9752,2314 3024 8379,,
Plastic scrap tradings,434,Monthly,258,19-05-2022,Maharashtra,Pune," 10,560.00 "," 10,520.00 ",8149,19-05-2022,6639 / 6643,21-05-2022,DN09N9731,2314 3211 7332,,
Plastic scrap tradings,504,Monthly,260,28-05-2022,Maharashtra,Pune," 8,740.00 "," 8,695.00 ",8822,28-05-2022,19/28,31-05-2022,DN09Q9002,2314 3574 2061,,
Pyramid plast,291,Monthly,7,03-05-2022,Maharashtra,Mumbai," 10,190.00 "," 9,520.00 ",15768,03-05-2022,6202,04-05-2022,MH48AY6234,2614 2585 8450,,
Shri hari plastic,268,Monthly,32,30-04-2022,Maharashtra,Pune," 8,710.00 "," 8,620.00 ",6767,30-04-2022,6129 /6132,02-05-2022,DN09M9989,2014 2448 2111,,
Shri hari plastic,329,Monthly,38,06-05-2022,Maharashtra,Thane," 9,260.00 "," 9,195.00 ",34545,06-05-2022,6331 / 6337,10-05-2022,MH47AS0640,2014 2711 3445,,
Shri hari plastic,347,Monthly,42,10-05-2022,Maharashtra,Pune," 8,815.00 "," 8,760.00 ",7361,09-05-2022,6374 / 6384,12-05-2022,DN09M9989,2614 2815 7044,,
Shri hari plastic,357,Monthly,45,12-05-2022,Maharashtra,Nalasopara," 8,370.00 "," 8,345.00 ",11479,12-05-2022,6409 / 6413,13-05-2022,MH47AS0640,2414 2938 6245,,
Shri hari plastic,427,Monthly,54,18-05-2022,Maharashtra,Pune," 8,150.00 "," 8,075.00 ",7779,18-05-2022,6618 / 6621,21-05-2022,DN09S9345,2114 3172 8069,,
Shri hari plastic,473,Monthly,60,23-05-2022,Maharashtra,Ahmednagar," 11,855.00 "," 11,870.00 ",6847,23-05-2022,6759 /6768,26-05-2022,GJ15Z0501,2614 3363 2200,,
Shri hari plastic,497,Monthly,68,27-05-2022,Maharashtra,Pune," 8,235.00 "," 8,155.00 ",8401,27-05-2022,01  / 004,30-05-2022,DN09S9345,2314 3548 0497,,
,,Monthly,,,,,,,,,,,,,,
,,Monthly,,,,,,,,,,,,,,
,,Monthly,,,,,,,,,,,,,,
,,Monthly,,,,,,,,,,,,,,
,,Monthly,,,,,,,,,,,,,,
