aggregator_name,gst,grn_number,type_of_submission,purchase_invoice_number,purchase_invoice_date,dispatched_state,dispatched_place,invoice_quantity,plant_quantity,aggregator_wbs_number,aggregator_wbs_date,plant_wbs_number,plant_wbs_date,vehicle_number,eway_bill_number,lr_number,lr_date,category_name,material_name,supply_type,trader_name,trader_add,trader_gst,trader_contact_person,trader_contact,
Ayan Traders,SDDD3488,1114,Monthly,324,09-08-2022,Maharashtra,Pune,"7,475.00","7,470.00",6132,09-08-2022,1973 / 1980,11-08-2022,DD01A9061,2814 6611 5477,,,Rigid,LDPE,,,,,,,
Ayan Traders,SDDD3489,1191,Monthly,327,15-08-2022,Maharashtra,Pune,"6,925.00","7,210.00",6913,15-08-2022,2197,19-08-2022,DN09P9246,2514 6819 0118,,,Rigid,LDPE,,,,,,,
Eco Polypet India,SDDD3490,1178,Monthly,66,14-08-2022,Maharashtra,Pune,"7,135.00","7,220.00",8743,14-08-2022,2162 / 2165,17-08-2022,MH14DM4163,2414 6799 9021,,,Rigid,LDPE,,,,,,,
Eco Polypet India,SDDD3491,1248,Monthly,69,23-08-2022,Maharashtra,Pune,"7,224.00","7,245.00",2989,23-08-2022,2383 / 2390,26-08-2022,GJ15XX4368,2914 7166 2523,,,Rigid,LDPE,,,,,,,
Environmental Experts,SDDD3492,1017,Monthly,EE/031/22-23,29-07-2022,Maharashtra,Mumbai,"8,910.00","8,800.00",6514,29-07-2022,1620 / 1658 / 1662,01-08-2022,MH03CV6911,2514 6152 4091,,,Rigid,LDPE,,,,,,,
Environmental Experts,SDDD3493,1028,Monthly,EE/032/22-23,31-07-2022,Maharashtra,Mumbai,"9,080.00","8,990.00",5410,31-07-2022,1689 / 1693,02-08-2022,MH05DK6977,2914 6217 6413,,,Rigid,LDPE,,,,,,,
Environmental Experts,SDDD3494,1042,Monthly,EE/033/22-23,01-08-2022,Maharashtra,Mumbai,"10,080.00","10,030.00",13496,01-08-2022,1741 / 1745,04-08-2022,MH03DV2903,2214 6274 3993,,,Rigid,LDPE,,,,,,,
Environmental Experts,SDDD3495,1074,Monthly,EE/036/22-23,05-08-2022,Maharashtra,Mumbai,"9,745.00","9,685.00",5504,05-08-2022,1839 / 1844,06-08-2022,MH03DV2903,2814 6463 2994,,,Rigid,LDPE,,,,,,,
Environmental Experts,SDDD3496,1076,Monthly,EE/035/22-23,05-08-2022,Maharashtra,Mumbai,"9,710.00","9,685.00",13598,05-08-2022,1845 / 1845,07-08-2022,MH03DV2901,2114 6462 7915,,,Rigid,LDPE,,,,,,,
Environmental Experts,SDDD3497,1083,Monthly,EE/037/22-23,05-08-2022,Maharashtra,Mumbai,"8,435.00","8,400.00",5410,07-08-2022,1870 / 1872,07-08-2022,MH16CC6775,2514 6508 5859,,,Rigid,LDPE,,,,,,,
Environmental Experts,SDDD3498,1110,Monthly,EE/038/22-23,10-08-2022,Maharashtra,Mumbai,"8,545.00","8,550.00",147,09-08-2022,1965 /1963,11-08-2022,MH03CV6268,2214 6622 6924,,,Rigid,LDPE,,,,,,,
Environmental Experts,SDDD3499,1115,Monthly,EE/039/22-23,10-08-2022,Maharashtra,Mumbai,"10,220.00","10,210.00",13697,10-08-2022,1979 / 1981,11-08-2022,MH03DV2903,2114 6661 8920,,,Rigid,LDPE,,,,,,,
Environmental Experts,SDDD3500,1116,Monthly,EE/040/22-23,10-08-2022,Maharashtra,Mumbai,"9,035.00","9,085.00",494,10-08-2022,1984 /1982,12-08-2022,MH03CV6234,2614 6664 3729,,,Rigid,LDPE,,,,,,,
Environmental Experts,SDDD3501,1118,Monthly,EE/041/22-23,10-08-2022,Maharashtra,Mumbai,"8,785.00","8,860.00",2668,10-08-2022,1985 / 1988,12-08-2022,MH03CV6168,2614 6664 4425,,,Rigid,LDPE,,,,,,,
Environmental Experts,SDDD3502,1134,Monthly,EE/042/22-23,11-08-2022,Maharashtra,Mumbai,"10,055.00","9,930.00",43130,11-08-2022,2029 / 2034,13-08-2022,MH05DK6977,2114 6697 3069,,,Rigid,LDPE,,,,,,,
Environmental Experts,SDDD3503,1168,Monthly,EE/043/22-23,14-08-2022,Maharashtra,Mumbai,"8,370.00","8,400.00",43211,14-08-2022,2129 / 2134,16-08-2022,MH48CB4658,2514 6807 9466,,,Rigid,LDPE,,,,,,,
Environmental Experts,SDDD3504,1171,Monthly,EE/044/22-23,14-08-2022,Maharashtra,Mumbai,"7,625.00","7,740.00",747,14-08-2022,2143 / 2149,17-08-2022,MH03CV9280,2114 6808 7649,,,Rigid,LDPE,,,,,,,
Environmental Experts,SDDD3505,1177,Monthly,EE/046/22-23,15-08-2022,Maharashtra,Mumbai,"10,020.00","10,010.00",43218,14-08-2022,2159 /2161,17-08-2022,MH04KU4675,2914 6809 7105,,,Rigid,LDPE,,,,,,,
Environmental Experts,SDDD3506,1192,Monthly,EE/047/22-23,16-08-2022,Maharashtra,Mumbai,"10,580.00","10,650.00",13817,16-08-2022,2199 / 2201,19-08-2022,MH04KU4610,2914 6844 3829,,,Rigid,LDPE,,,,,,,
Environmental Experts,SDDD3507,1228,Monthly,EE/049/22-23,21-08-2022,Maharashtra,Mumbai,"9,590.00","9,575.00",6614,21-08-2022,2332 /2331/2329,25-08-2022,MH15GV2566,2914 7074 1740,,,Rigid,LDPE,,,,,,,
Environmental Experts,SDDD3508,1235,Monthly,EE/050/22-23,23-08-2022,Maharashtra,Mumbai,"8,465.00","8,405.00",1695,23-08-2022,2349 / 2357,25-08-2022,MH03CV6269,2814 7125 7847,,,Rigid,LDPE,,,,,,,
Environmental Experts,SDDD3509,1240,Monthly,EE/051/22-23,24-08-2022,Maharashtra,Mumbai,"10,150.00","10,070.00",1784,24-08-2022,2366 / 2371,26-08-2022,MH03CV9922,2614 7178 1494,,,Rigid,LDPE,,,,,,,
Environmental Experts,SDDD3510,1261,Monthly,EE/051/22-23,26-08-2022,Maharashtra,Mumbai,"10,690.00","10,780.00",8543,24-08-2022,2425 / 2428,28-08-2022,DD01C9044,2014 7294 8889,,,Rigid,LDPE,,,,,,,
Kunal Tradelink,SDDD3511,1051,Monthly,KTL/22-23/100,02-08-2022,Maharashtra,Pune,"5,630.00","5,645.00",12810,02-08-2022,1764 / 1772,04-08-2022,DD01A9061,2414 6298 6002,,,Rigid,LDPE,,,,,,,
 Mahakal Waste Traders,SDDD3512,1022,Monthly,12,30-07-2022,Maharashtra,Pune,"11,410.00","11,360.00",799,30-07-2022,1672 / 1675,02-08-2022,MH04DS2700,2714 6194 8130,,,Rigid,LDPE,,,,,,,
Mn Enterprise,SDDD3513,1025,Monthly,680,30-07-2022,Maharashtra,Pune,"9,125.00","9,115.00",2776,30-07-2022,1678 / 1683,02-08-2022,DN09Q9002,2814 6182 8075,,,Rigid,LDPE,,,,,,,
Mn Enterprise,SDDD3514,1026,Monthly,681,30-07-2022,Maharashtra,Pune,"9,445.00","9,375.00",3564,30-07-2022,1684 / 1688,02-08-2022,DN09N9787,2314 6202 0703,,,Rigid,LDPE,,,,,,,
Mn Enterprise,SDDD3515,1038,Monthly,684,01-08-2022,Maharashtra,Pune,"5,945.00","5,930.00",25301/25289,01-08-2022,1724 / 1728,03-08-2022,GJ08U2551,2014 6239 5392,,,Rigid,LDPE,,,,,,,
Mn Enterprise,SDDD3516,1060,Monthly,688,03-08-2022,Maharashtra,Pune,"7,810.00","7,840.00",3468,03-08-2022,1789 / 1792,05-08-2022,MH04FJ4253,2814 6364 0617,,,Rigid,LDPE,,,,,,,
Mn Enterprise,SDDD3517,1088,Monthly,691,07-08-2022,Maharashtra,Pune,"9,700.00","9,680.00",453,07-08-2022,1895 / 1897,08-08-2022,DD01H9501,2014 6522 5731,,,Rigid,LDPE,,,,,,,
Mn Enterprise,SDDD3518,1091,Monthly,692,07-08-2022,Maharashtra,Pune,"8,370.00","8,395.00",9727,07-08-2022,1899 / 1905,09-08-2022,KA22C3337,2414 6522 6400,,,Rigid,LDPE,,,,,,,
Mn Enterprise,SDDD3519,1143,Monthly,695,11-08-2022,Maharashtra,Pune,"8,120.00","7,980.00",5433,11-08-2022,2063 /2067,14-08-2022,DD01A9453,2414 6692 4347,,,Rigid,LDPE,,,,,,,
Mn Enterprise,SDDD3520,1215,Monthly,705,20-08-2022,Maharashtra,Pune,"8,990.00","9,180.00",2563,20-08-2022,2280 / 2288,22-08-2022,DN09Q9003,2914 7053 7280,,,Rigid,LDPE,,,,,,,
Mn Enterprise,SDDD3521,1218,Monthly,706,20-08-2022,Maharashtra,Pune,"7,805.00","7,785.00",1994/7680,20-08-2022,2291 / 2293,23-08-2022,MH04FJ4253,2014 7054 1750,,,Rigid,LDPE,,,,,,,
Mn Enterprise,SDDD3522,1219,Monthly,707,20-08-2022,Maharashtra,Pune,"8,810.00","8,845.00",2568,20-08-2022,2292 / 2295,23-08-2022,DD01H9398,2714 7056 0813,,,Rigid,LDPE,,,,,,,
Mn Enterprise,SDDD3523,1252,Monthly,712,24-08-2022,Maharashtra,Pune,"7,510.00","7,495.00",2005,24-08-2022,2395 / 2398,27-08-2022,MH04FJ4253,2014 7225 6427,,,Rigid,LDPE,,,,,,,
Mohammed Khan Jahan Ali Shaikh,SDDD3524,1054,Monthly,241/22-23,02-08-2022,Maharashtra,Mumbai,"9,790.00","9,800.00",31068,02-08-2022,1774 / 1779,05-08-2022,MH01CR9463,2214 6318 5363,,,Rigid,LDPE,,,,,,,
Mohammed Khan Jahan Ali Shaikh,SDDD3525,1067,Monthly,243/22-23,04-08-2022,Maharashtra,Mumbai,"9,980.00","10,095.00",697,04-08-2022,1814 / 1819/1821,06-08-2022,MH48AG3169,2414 6414 9939,,,Rigid,LDPE,,,,,,,
Mohammed Khan Jahan Ali Shaikh,SDDD3526,1123,Monthly,244/22-23,10-08-2022,Maharashtra,Mumbai,"9,840.00","9,850.00",32182,10-08-2022,2002 / 2005,12-08-2022,MH01CR9463,2914 6658 3792,,,Rigid,LDPE,,,,,,,
Mohammed Khan Jahan Ali Shaikh,SDDD3527,1150,Monthly,246/22-23,12-08-2022,Maharashtra,Mumbai,"10,090.00","10,050.00",32432,12-08-2022,2082 / 2085,14-08-2022,MH01CV9010,2614 6742 8310,,,Rigid,LDPE,,,,,,,
Mohammed Khan Jahan Ali Shaikh,SDDD3528,1185,Monthly,247/22-23,16-08-2022,Maharashtra,Mumbai,"10,200.00","10,220.00",32763,16-08-2022,2184 / 2187,18-08-2022,MH01CR9463,2614 6836 3474,,,Rigid,LDPE,,,,,,,
Mohammed Khan Jahan Ali Shaikh,SDDD3529,1237,Monthly,248/22-23,22-08-2022,Maharashtra,Mumbai,"10,280.00","10,200.00",33650,22-08-2022,2358 / 2361,26-08-2022,MH48BM8417,2414 7124 2797,,,Rigid,LDPE,,,,,,,
Nande Sales,SDDD3530,1193,Monthly,249,16-08-2022,Maharashtra,Pune,"10,620.00","10,670.00",1559,16-08-2022,2200 / 2205,19-08-2022,DD01J9699,2014 6863 1724,,,Rigid,LDPE,,,,,,,
Plastic Scrap Trading,SDDD3531,1043,Monthly,273,01-08-2022,Maharashtra,Pune,"8,320.00","8,305.00",3752,01-08-2022,1744 / 1747,04-08-2022,DN09N9361,2714 6274 5246,,,Rigid,LDPE,,,,,,,
Pratham Enterprises,SDDD3532,1170,Monthly,PE/22-23/24,14-08-2022,Maharashtra,Ambernath,"9,235.00","9,140.00",5029,14-08-2022,2135 / 2137,16-08-2022,MH48BM9029,2414 6809 4383,,,Rigid,LDPE,,,,,,,
Rapidue Technologies Pvt Ltd,SDDD3533,1040,Monthly,23/MPPET/INV2170,01-08-2022,Maharashtra,Ahmednagar,"9,035.00","9,075.00",4598 /4757,31-07-2022,1731 / 1738,03-08-2022,MH17BY7373,1915 0763 0945,,,Rigid,LDPE,,,,,,,
Sana Plastic,SDDD3534,1027,Monthly,SP/59/2022,31-07-2022,Maharashtra,Mumbai,"7,580.00","7,560.00",16124/76537,31-07-2022,1686 / 1690,02-08-2022,MH02FG2977,2414 6226 5505,,,Rigid,LDPE,,,,,,,
Sana Plastic,SDDD3535,1094,Monthly,SP/61/2022,08-08-2022,Maharashtra,Mumbai,"11,470.00","11,475.00",31857,08-08-2022,1907 / 1911,09-08-2022,MH48AG3169,2414 6547 2780,,,Rigid,LDPE,,,,,,,
Sana Plastic,SDDD3536,1124,Monthly,SP/63/2022,11-08-2022,Maharashtra,Mumbai,"8,280.00","8,260.00",78151/16905,11-08-2022,2004 /2006,12-08-2022,MH02FG2977,2214 6697 0638,,,Rigid,LDPE,,,,,,,
Sana Plastic,SDDD3537,1166,Monthly,SP/64/2022,14-08-2022,Maharashtra,Mumbai,"10,400.00","10,495.00",18901,14-08-2022,2123 / 2128,16-08-2022,MH02FG2977,2814 6809 0578,,,Rigid,LDPE,,,,,,,
Sana Plastic,SDDD3538,1223,Monthly,SP/65/2022,21-08-2022,Maharashtra,Mumbai,"11,500.00","11,560.00",33481,21-08-2022,2309/ 2314,24-08-2022,MH47AS4862,2914 7066 1604,,,Rigid,LDPE,,,,,,,
Sana Plastic,SDDD3539,1239,Monthly,SP/67/2022,23-08-2022,Maharashtra,Mumbai,"10,170.00","10,160.00",19783,23-08-2022,2362 / 2364,26-08-2022,MH02FG2977,2714 7176 7905,,,Rigid,LDPE,,,,,,,
Shree Ram Enterprise,SDDD3540,1149,Monthly,SRE22-23-40,12-08-2022,Maharashtra,Mumbai,"10,175.00","10,095.00",4687,12-08-2022,2080 / 2083,14-08-2022,MH03CV8930,2214 6742 4093,,,Rigid,LDPE,,,,,,,
Shree Ram Enterprise,SDDD3541,1179,Monthly,SRE22-23-41,14-08-2022,Maharashtra,Ambernath,"9,800.00","9,875.00",43210,14-08-2022,2166 / 2167/2163,18-08-2022,MH48AY5865,2414 6808 6629,,,Rigid,LDPE,,,,,,,
