aggregator_name,gst,grn_number,type_of_submission,purchase_invoice_number,purchase_invoice_date,dispatched_state,dispatched_place,invoice_quantity,plant_quantity,aggregator_wbs_number,aggregator_wbs_date,plant_wbs_number,plant_wbs_date,vehicle_number,eway_bill_number,lr_number,lr_date,category_name,material_name,supply_type,trader_name,trader_add,trader_gst,trader_contact_person,trader_contact,
Mn Enterprises,SDDD3407,512,Monthly,623,29-05-2022,Maharashtra,Pune,"7,985.00","7,970.00",9526,29-05-2022,44  / 47,01-06-2022,MH04FJ4253,2714 3610 2620,,,Rigid,LDPE,,,,,,,
Mn Enterprises,SDDD3408,523,Monthly,624,31-05-2022,Maharashtra,Pune,"10,110.00","10,085.00",9350,31-05-2022,76 / 82,02-06-2022,DN09S9237,2414 3679 1515,,,Rigid,LDPE,,,,,,,
Mn Enterprises,SDDD3409,527,Monthly,625,01-06-2022,Maharashtra,Pune,"9,275.00","9,260.00",61,01-06-2022,89 / 92,03-06-2022,DN09N9787,2514 3746 8822,,,Rigid,LDPE,,,,,,,
Ah Scrap Traders,SDDD3410,1004,Monthly,229,29-07-2022,Maharashtra,Mumbai,"9,400.00","9,370.00",2265,29-07-2022,1613 / 1616,31-07-2022,MH03CV6234,2614 6150 3895,,,Rigid,LDPE,,,,,,,
Ah Scrap Traders,SDDD3411,1011,Monthly,230,31-07-2022,Maharashtra,Mumbai,"10,680.00","10,685.00",13452,31-07-2022,1644 / 1646,01-08-2022,DD01C9472,2314 6206 0754,,,Rigid,LDPE,,,,,,,
Ak Plastic Scrap Traders,SDDD3412,799,Monthly,397,05-07-2022,Maharashtra,Mumbai,"10,030.00","10,080.00",27022,05-07-2022,946/943,07-07-2022,MH48BM2944,2814 5101 5405,,,Rigid,LDPE,,,,,,,
Ak Plastic Scrap Traders,SDDD3413,886,Monthly,401,15-07-2022,Maharashtra,Mumbai,"10,510.00","10,490.00",28501,15-07-2022,1222 / 1228,16-07-2022,MH48BM8417,2514 5549 6623,,,Rigid,LDPE,,,,,,,
Ak Plastic Scrap Traders,SDDD3414,997,Monthly,406,28-07-2022,Maharashtra,Mumbai,"10,580.00","10,525.00",30391,28-07-2022,1590 / 1599,30-07-2022,MH48BM2944,2514 6102 6034,,,Rigid,LDPE,,,,,,,
Al Hadid Corporation,SDDD3415,947,Monthly,AHC/22-23/73,22-07-2022,Maharashtra,Solapur,"8,830.00","8,970.00",28893,22-07-2022,1428/1435,24-07-2022,MH25U1561,2914 5841 1555,,,Rigid,LDPE,,,,,,,
Anil Traders,SDDD3416,888,Monthly,AT/22-23/64,15-07-2022,Maharashtra,Mumbai,"9,815.00","9,875.00",7726,15-07-2022,1229/ 1232,17-07-2022,MH03CV9280,2414 5549 2561,,,Rigid,LDPE,,,,,,,
Ayan Traders,SDDD3417,760,Monthly,315,29-06-2022,Maharashtra,Pune,"7,335.00","7,475.00",875,29-06-2022,815/818,02-07-2022,GJ15AT1315,2114 4902 9756,,,Rigid,LDPE,,,,,,,
Ayan Traders,SDDD3418,764,Monthly,316,30-06-2022,Maharashtra,Pune,"8,765.00","8,870.00",906,30-06-2022,827 / 832,02-07-2022,DN09M9989,2614 4909 9262,,,Rigid,LDPE,,,,,,,
Ayan Traders,SDDD3419,842,Monthly,317,07-07-2022,Maharashtra,Pune,"8,020.00","7,870.00",2026,07-07-2022,1077 / 1083,11-07-2022,MH06AQ9513,2014 5232 1125,,,Rigid,LDPE,,,,,,,
Ayan Traders,SDDD3420,845,Monthly,318,09-07-2022,Maharashtra,Pune,"10,945.00","11,115.00",2226,09-07-2022,1088 / 1091,12-07-2022,DN09M9989,2414 5299 4370,,,Rigid,LDPE,,,,,,,
Ayan Traders,SDDD3421,891,Monthly,319,15-07-2022,Maharashtra,Pune,"8,630.00","8,765.00",2809,15-07-2022,1245 / 1249,17-07-2022,DN09S9345,2714 5513 5681,,,Rigid,LDPE,,,,,,,
Ayan Traders,SDDD3422,943,Monthly,320,22-07-2022,Maharashtra,Pune,"8,060.00","8,155.00",3716,22-07-2022,1414 / 1416,24-07-2022,DN09M9989,2914 5834 7544,,,Rigid,LDPE,,,,,,,
Eco Solution,SDDD3423,941,Monthly,EC/078/22-23,22-07-2022,Maharashtra,Mumbai,"8,445.00","8,525.00",3513,22-07-2022,1411 / 1413,24-07-2022,MH03CV9280,2214 5843 6333,,,Rigid,LDPE,,,,,,,
Environmental Experts,SDDD3424,810,Monthly,EE/017/22-23,06-07-2022,Maharashtra,Pune,"9,320.00","9,305.00",12964,06-07-2022,978/976,08-07-2022,GJ15Z1001,2014 5188 8126,,,Rigid,LDPE,,,,,,,
Hema Exports,SDDD3425,1003,Monthly,102,29-07-2022,Maharashtra,Mumbai,"9,590.00","9,615.00",17605,29-07-2022,1612 / 1614,31-07-2022,MH03CV9922,2014 6151 5847,,,Rigid,LDPE,,,,,,,
Indian Recycler,SDDD3426,753,Monthly,51,28-06-2022,Maharashtra,Pune,"7,208.00","7,205.00",6677,28-06-2022,39041,01-07-2022,GJ15XX4368,2014 4855 2388,,,Rigid,LDPE,,,,,,,
Indian Recycler,SDDD3427,780,Monthly,53,01-07-2022,Maharashtra,Pune,"9,038.00","9,330.00",6715,01-07-2022,886 /889,04-07-2022,DD01A9453,2414 5003 5738,,,Rigid,LDPE,,,,,,,
Indian Recycler,SDDD3428,801,Monthly,55,05-07-2022,Maharashtra,Pune,"6,740.00","7,025.00",47,05-07-2022,947 / 950,07-07-2022,DD01C9159,2214 5124 7633,,,Rigid,LDPE,,,,,,,
Indian Recycler,SDDD3429,808,Monthly,56,05-07-2022,Maharashtra,Pune,"6,805.00","6,985.00",4601,05-07-2022,972 / 975,08-07-2022,MH14HG4306,2414 5140 6863,,,Rigid,LDPE,,,,,,,
Indian Recycler,SDDD3430,813,Monthly,57,05-07-2022,Maharashtra,Pune,"7,238.00","7,475.00",2745,05-07-2022,985 / 992,08-07-2022,GJ15XX9283,2114 5140 9272,,,Rigid,LDPE,,,,,,,
Indian Recycler,SDDD3431,837,Monthly,58,07-07-2022,Maharashtra,Pune,"8,018.00","7,945.00",1981/6748,07-07-2022,1064 / 1067,11-07-2022,GJ15XX4368,2914 5239 5606,,,Rigid,LDPE,,,,,,,
Indian Recycler,SDDD3432,844,Monthly,59,08-07-2022,Maharashtra,Pune,"7,576.00","7,495.00",2751,08-07-2022,1089/1086,12-07-2022,DN09N9361,2314 5278 4765,,,Rigid,LDPE,,,,,,,
Indian Recycler,SDDD3433,945,Monthly,68,22-07-2022,Maharashtra,Pune,"6,529.00","6,480.00",3740,22-07-2022,1423 / 1430,24-07-2022,DN09V9426,2914 5843 4619,,,Rigid,LDPE,,,,,,,
Indian Recycler,SDDD3434,978,Monthly,71,26-07-2022,Maharashtra,Pune,"8,340.00","8,340.00",2231,26-07-2022,1530 / 1533,28-07-2022,DN09N9361,2214 5992 9212,,,Rigid,LDPE,,,,,,,
Indian Recycler,SDDD3435,990,Monthly,72,27-07-2022,Maharashtra,Pune,"7,260.00","7,235.00",2821,27-07-2022,1579 / 1580,30-07-2022,DN09J9097,2114 6045 5307,,,Rigid,LDPE,,,,,,,
Indian Recycler,SDDD3436,1000,Monthly,74,28-07-2022,Maharashtra,Pune,"6,812.00","6,775.00", -,28-07-2022,1601/ 1605,30-07-2022,DN09L9032,2314 6100 7398,,,Rigid,LDPE,,,,,,,
Kachhi Eco Plastic,SDDD3437,761,Monthly,152/2022-23,29-06-2022,Maharashtra,Satara,"5,520.00","5,785.00",11121,29-06-2022,817 / 820,02-07-2022,DN09S9345,2014 4892 0259,,,Rigid,LDPE,,,,,,,
Kachhi Eco Plastic,SDDD3438,869,Monthly,164/2022-23,11-07-2022,Maharashtra,Satara,"8,250.00","8,225.00",16770,11-07-2022,1166 / 1171,14-07-2022,DN09S9628,2914 5373 1515,,,Rigid,LDPE,,,,,,,
Kachhi Eco Plastic,SDDD3439,905,Monthly,170/2022-23,17-07-2022,Maharashtra,Satara,"9,020.00","9,100.00",2775,17-07-2022,1306 / 1308,20-07-2022,DN09S9628,2814 5609 5051,,,Rigid,LDPE,,,,,,,
Kachhi Eco Plastic,SDDD3440,919,Monthly,172/2022-23,19-07-2022,Maharashtra,Satara,"9,970.00","9,995.00",16910,19-07-2022,1342 / 1346,21-07-2022,DD01A9281,2814 5700 6458,,,Rigid,LDPE,,,,,,,
Khusi Plastic,SDDD3441,794,Monthly,63,03-07-2022,Maharashtra,Kandivali,"10,195.00","10,290.00",6527,03-07-2022,914 / 917,05-07-2022,MH03DV2901,2014 5043 6504,,,Rigid,LDPE,,,,,,,
